summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":346360.0318294383,"y":484443.4420243838,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2012-01-05,1.2208972
2012-01-06,0.39797252
2012-01-07,1.1723549
2012-01-08,0.51286983
2012-01-09,0.308944
2012-01-10,0.45050997
2012-01-11,0.4242769
2012-01-12,0.5376558
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0.12282487
2012-01-18,0.4214
2012-01-19,0.63889194
2012-01-20,0.44606045
2012-01-21,1.3919954
2012-01-22,1.1801605
2012-01-23,0.46118265
2012-01-24,0.058975138
2012-01-25,0.7514236
2012-01-26,0.32385877
2012-01-27,0.3046879
2012-01-28,0
2012-01-29,0.06025831
2012-01-30,0.17342672
2012-01-31,0.39106926
2012-02-01,0.43714547
2012-02-02,0.14146507
2012-02-03,0.21713708
2012-02-04,0.35260436
2012-02-05,0.075124644
2012-02-06,0.020639496
2012-02-07,0.082650505
2012-02-08,0.37527716
2012-02-09,0.049450662
2012-02-10,0.08263655
2012-02-11,0.24116293
2012-02-12,0.14561105
2012-02-13,0.6028269
2012-02-14,0.74222577
2012-02-15,0.9194414
2012-02-16,0.7688153
2012-02-17,0.5857314
2012-02-18,1.1791552
2012-02-19,0.7398378
2012-02-20,0.70639944
2012-02-21,0.7618667
2012-02-22,0.9013649
2012-02-23,0.8874141
2012-02-24,0.9267451
2012-02-25,0.89493936
2012-02-26,0.5940865
2012-02-27,0.6125857
2012-02-28,0.59676456
2012-02-29,0.5954159
2012-03-01,0.81473076
2012-03-02,0.6505321
2012-03-03,0.88819873
2012-03-04,0.7965915
2012-03-05,1.0294088
2012-03-06,1.041049
2012-03-07,1.4143363
2012-03-08,1.2103465
2012-03-09,1.1591396
2012-03-10,1.1268982
2012-03-11,1.0386449
2012-03-12,0.7621171
2012-03-13,0.5629263
2012-03-14,0.64550996
2012-03-15,0.7770051
2012-03-16,0.99352026
2012-03-17,1.0503583
2012-03-18,1.1823426
2012-03-19,1.4720619
2012-03-20,1.536688
2012-03-21,1.2210239
2012-03-22,1.5751609
2012-03-23,1.0744615
2012-03-24,1.289576
2012-03-25,1.7717863
2012-03-26,2.0002332
2012-03-27,2.0034
2012-03-28,2.0921204
2012-03-29,2.267333
2012-03-30,1.7625068
2012-03-31,1.2610226
2012-04-01,1.6900024
2012-04-02,0.94119716
2012-04-03,1.0604559
2012-04-04,1.4863805
2012-04-05,1.6294783
2012-04-06,0.986041
2012-04-07,0.9523376
2012-04-08,1.1873807
2012-04-09,1.0407169
2012-04-10,1.6458902
2012-04-11,1.4306653
2012-04-12,1.5403266
2012-04-13,1.5892966
2012-04-14,1.5974208
2012-04-15,1.88844
2012-04-16,1.9021101
2012-04-17,2.0223198
2012-04-18,1.398613
2012-04-19,1.1858616
2012-04-20,1.536284
2012-04-21,1.5123942
