summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":346360.0318294383,"y":484443.4420243838,"spatialReference":{"wkid":27700}},
DATES,Precipitation - GEAR (kg m-2 s-1)
2012-02-05,0.000017361112
2012-02-06,0
2012-02-07,0.0000034722223
2012-02-08,0
2012-02-09,0.000020833333
2012-02-10,0.0000011574074
2012-02-11,0.0000011574074
2012-02-12,0.0000046296295
2012-02-13,0.0000023148148
2012-02-14,0
2012-02-15,0
2012-02-16,0.000019675927
2012-02-17,0.00008912037
2012-02-18,0.000005787037
2012-02-19,0
2012-02-20,0.00020833334
2012-02-21,0.00012847222
2012-02-22,0.00007638889
2012-02-23,0.000010416667
2012-02-24,0
2012-02-25,0.0000011574074
2012-02-26,0.000045138888
2012-02-27,0.000019675927
2012-02-28,0.0000034722223
2012-02-29,0
2012-03-01,0.000049768518
2012-03-02,0.0000034722223
2012-03-03,0.0000775463
2012-03-04,0.0000023148148
2012-03-05,0
2012-03-06,0.00015740741
2012-03-07,0.000005787037
2012-03-08,0.0000069444445
2012-03-09,0.000037037036
2012-03-10,0.0000034722223
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0.0000011574074
2012-03-16,0.000052083335
2012-03-17,0.000013888889
2012-03-18,0
2012-03-19,0.0000046296295
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0.000027777778
2012-04-03,0.000030092593
2012-04-04,0
2012-04-05,0
2012-04-06,0.0000023148148
2012-04-07,0
2012-04-08,0.000030092593
2012-04-09,0.00019444444
2012-04-10,0.000059027778
2012-04-11,0.000011574074
2012-04-12,0.000060185186
2012-04-13,0.000010416667
2012-04-14,0
2012-04-15,0
2012-04-16,0.000109953704
2012-04-17,0.000028935185
2012-04-18,0.000017361112
2012-04-19,0
2012-04-20,0.000017361112
2012-04-21,0.000016203703
2012-04-22,0.0000023148148
2012-04-23,0
2012-04-24,0.0000046296295
2012-04-25,0.000055555556
2012-04-26,0.0000034722223
2012-04-27,0
2012-04-28,0
2012-04-29,0.00008333333
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0.0000011574074
2012-05-06,0
2012-05-07,0.00011574074
2012-05-08,0.0000011574074
2012-05-09,0.00034837963
2012-05-10,0.00025578705
2012-05-11,0.0000069444445
2012-05-12,0
2012-05-13,0.000087962966
2012-05-14,0.000052083335
2012-05-15,0.0000069444445
2012-05-16,0.000030092593
2012-05-17,0.000005787037
2012-05-18,0.000043981483
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0.000030092593
2012-05-31,0.000045138888
2012-06-01,0
2012-06-02,0.000063657404
2012-06-03,0
2012-06-04,0
2012-06-05,0.0000775463
2012-06-06,0
2012-06-07,0.000090277776
2012-06-08,0.000043981483
2012-06-09,0.0000011574074
2012-06-10,0.0000011574074
2012-06-11,0
2012-06-12,0
2012-06-13,0.0000023148148
2012-06-14,0.000040509258
2012-06-15,0.00019560185
2012-06-16,0.00014699074
2012-06-17,0.0000023148148
2012-06-18,0.00003125
2012-06-19,0
2012-06-20,0.000025462963
2012-06-21,0.00021527777
2012-06-22,0.0006203704
2012-06-23,0.00009259259
2012-06-24,0.0000034722223
2012-06-25,0
2012-06-26,0.00010763889
2012-06-27,0.000049768518
2012-06-28,0.0004803241
2012-06-29,0.000024305555
2012-06-30,0.000025462963
